X	Y	X	Y	X	Y	X	Y	X	Y
3.3900000E1	8.7244103E-1	3.4290000E1	2.0143006E1	3.3650000E1	-8.9257355E-1	1.1496230E2	8.3395166E0	3.3494742E1	4.9862718E0
3.4900000E1	1.4422410E0	3.5290000E1	2.1135068E1	3.4650000E1	1.2748629E0	1.1596230E2	8.3395166E0	3.4494742E1	4.8905859E0
3.5900000E1	1.7474910E0	3.6290000E1	2.1287693E1	3.5650000E1	9.5023195E-1	1.1696230E2	8.2676931E0	3.5494742E1	4.6992611E0
3.6900000E1	2.2650888E0	3.7290000E1	2.2784872E1	3.6650000E1	1.4697250E-2	1.1796230E2	8.2632041E0	3.6494742E1	4.5079364E0
3.7900000E1	2.1506569E0	3.8290000E1	2.3715818E1	3.7650000E1	7.2688050E-2	1.1896230E2	7.9579541E0	3.7494742E1	4.5206757E0
3.8900000E1	2.0527410E0	3.9290000E1	2.5832747E1	3.8650000E1	1.1621025E-1	1.1996230E2	7.9321740E0	3.8494742E1	4.4780821E0
3.9900000E1	2.0188243E0	4.0290000E1	2.6324318E1	3.9650000E1	1.5973235E-1	1.2096230E2	7.8400166E0	3.9494742E1	4.6428754E0
4.0900000E1	1.4422410E0	4.1290000E1	2.8265395E1	4.0650000E1	1.0321973E0	1.2196230E2	7.7290166E0	4.0494742E1	4.5458832E0
4.1900000E1	1.5126833E0	4.2290000E1	2.8474113E1	4.1650000E1	1.5005081E0	1.2296230E2	7.8816416E0	4.1494742E1	4.5989026E0
4.2900000E1	1.6013884E0	4.3290000E1	2.8644218E1	4.2650000E1	1.5233367E0	1.2396230E2	7.7299327E0	4.2494742E1	4.2983488E0
4.3900000E1	1.1751473E0	4.4290000E1	2.8730406E1	4.3650000E1	1.1006829E0	1.2496230E2	7.8598380E0	4.3494742E1	4.1868151E0
4.4900000E1	1.1980410E0	4.5290000E1	3.0183550E1	4.4650000E1	1.1085098E0	1.2596230E2	7.6157516E0	4.4494742E1	4.3676805E0
4.5900000E1	6.9607433E-1	4.6290000E1	3.0445193E1	4.5650000E1	9.0500975E-1	1.2696230E2	7.6199987E0	4.5494742E1	4.2849312E0
4.6900000E1	7.4937733E-1	4.7290000E1	3.0801318E1	4.6650000E1	1.2650483E0	1.2796230E2	7.9614213E0	4.6494742E1	4.3636235E0
4.7900000E1	1.1531436E0	4.8290000E1	3.2746778E1	4.7650000E1	1.3120097E0	1.2896230E2	7.3474541E0	4.7494742E1	4.4157526E0
4.8900000E1	1.0900295E0	4.9290000E1	3.4268231E1	4.8650000E1	1.3120097E0	1.2996230E2	7.3712178E0	4.8494742E1	4.4157526E0
4.9900000E1	1.4040847E0	5.0290000E1	3.4566068E1	4.9650000E1	1.5369309E0	1.3096230E2	7.3474541E0	4.9494742E1	4.2849312E0
5.0900000E1	1.3659285E0	5.1290000E1	3.4319816E1	5.0650000E1	2.0757527E0	1.3196230E2	7.2711416E0	5.0494742E1	4.3479193E0
5.1900000E1	1.3867410E0	5.2290000E1	3.4404465E1	5.1650000E1	2.3040723E0	1.3296230E2	7.1693916E0	5.1494742E1	4.4557569E0
5.2900000E1	1.2896160E0	5.3290000E1	3.6198492E1	5.2650000E1	2.6795297E0	1.3396230E2	7.6679666E0	5.2494742E1	4.5635945E0
5.3900000E1	8.4869933E-1	5.4290000E1	3.6409479E1	5.3650000E1	2.6835998E0	1.3496230E2	7.4492041E0	5.3494742E1	4.4435026E0
5.4900000E1	8.3174103E-1	5.5290000E1	3.6620465E1	5.4650000E1	2.6876697E0	1.3596230E2	7.2913612E0	5.4494742E1	3.8052526E0
5.5900000E1	8.3174103E-1	5.6290000E1	3.6702818E1	5.5650000E1	2.5838847E0	1.3696230E2	7.8816416E0	5.5494742E1	4.0272526E0
5.6900000E1	7.7069103E-1	5.7290000E1	3.7704664E1	5.6650000E1	2.9945465E0	1.3796230E2	7.7726237E0	5.6494742E1	4.0341901E0
5.7900000E1	7.0494483E-1	5.8290000E1	3.8706511E1	5.7650000E1	3.8761098E0	1.3896230E2	7.1948291E0	5.7494742E1	4.2249713E0
5.8900000E1	5.5886743E-1	5.9290000E1	3.9144818E1	5.8650000E1	4.0670996E0	1.3996230E2	7.2359204E0	5.8494742E1	4.3922718E0
5.9900000E1	5.7119983E-1	6.0290000E1	4.1461587E1	5.9650000E1	4.9139598E0	1.4096230E2	7.1945291E0	5.9494742E1	4.5029669E0
6.0900000E1	5.0832143E-1	6.1290000E1	4.1769968E1	6.0650000E1	6.3321982E0	1.4196230E2	7.2186801E0	6.0494742E1	4.7579010E0
6.1900000E1	7.2999103E-1	6.2290000E1	4.2461868E1	6.1650000E1	5.8907598E0	1.4296230E2	7.4488109E0	6.1494742E1	4.7777478E0
6.2900000E1	7.9782433E-1	6.3290000E1	4.2676997E1	6.2650000E1	5.6727241E0	1.4396230E2	5.8975166E0	6.2494742E1	4.7210026E0
6.3900000E1	6.6894103E-1	6.4290000E1	4.3418318E1	6.3650000E1	5.7076098E0	1.4496230E2	5.7769397E0	6.3494742E1	4.1105026E0
6.4900000E1	7.1433723E-1	6.5290000E1	4.3570943E1	6.4650000E1	6.0739097E0	1.4596230E2	5.3292820E0	6.4494742E1	3.5000026E0
6.5900000E1	9.0805353E-1	6.6290000E1	4.5003270E1	6.5650000E1	5.9185098E0	1.4696230E2	5.3342074E0	6.5494742E1	3.5418872E0
6.6900000E1	1.4422410E0	6.7290000E1	4.5138818E1	6.6650000E1	5.9156636E0	1.4796230E2	5.7143666E0	6.6494742E1	3.2819669E0
6.7900000E1	1.2500359E0	6.8290000E1	4.6778203E1	6.7650000E1	6.1600979E0	1.4896230E2	5.9585666E0	6.7494742E1	3.2456276E0
6.8900000E1	1.2504814E0	6.9290000E1	4.7005006E1	6.8650000E1	6.5012598E0	1.4996230E2	6.7005589E0	6.8494742E1	3.4236901E0
6.9900000E1	1.3461953E0	7.0290000E1	4.7691818E1	6.9650000E1	6.8065098E0	1.5096230E2	6.6371608E0	6.9494742E1	3.3092213E0
7.0900000E1	1.3354035E0	7.1290000E1	4.9981193E1	7.0650000E1	7.3700482E0	1.5196230E2	6.5667185E0	7.0494742E1	3.1947526E0
7.1900000E1	1.4422410E0	7.2290000E1	5.0133818E1	7.1650000E1	7.3337597E0	1.5296230E2	6.0567775E0	7.1494742E1	3.7616455E0
7.2900000E1	1.6796577E0	7.3290000E1	5.0423002E1	7.2650000E1	7.3269521E0	1.5396230E2	6.2790791E0	7.2494742E1	3.6308240E0
7.3900000E1	1.6864410E0	7.4290000E1	5.1442033E1	7.3650000E1	7.7886185E0	1.5496230E2	6.7696595E0	7.3494742E1	4.0782901E0
7.4900000E1	1.4187602E0	7.5290000E1	5.1641487E1	7.4650000E1	8.0814815E0	1.5596230E2	6.9709232E0	7.4494742E1	3.8052526E0
7.5900000E1	1.4422410E0	7.6290000E1	5.1660068E1	7.5650000E1	7.9619457E0	1.5696230E2	6.3201704E0	7.5494742E1	3.7289401E0
