211202_kinetic_519, 00 Fc=3 - 1_X	211202_kinetic_519, 00 Fc=3 - 1_Y	211202_kinetic_519, 00 Fc=3 - 2_X	211202_kinetic_519, 00 Fc=3 - 2_Y	211202_kinetic_519, 00 Fc=3 - 3_X	211202_kinetic_519, 00 Fc=3 - 3_Y	211202_kinetic_519, 00 Fc=3 - 4_X	211202_kinetic_519, 00 Fc=3 - 4_Y	211202_kinetic_519, 00 Fc=3 - 5_X	211202_kinetic_519, 00 Fc=3 - 5_Y	211202_kinetic_519, 00 Fc=3 - 6_X	211202_kinetic_519, 00 Fc=3 - 6_Y	211202_kinetic_519, 00 Fc=4 - 1_X	211202_kinetic_519, 00 Fc=4 - 1_Y	211202_kinetic_519, 00 Fc=4 - 2_X	211202_kinetic_519, 00 Fc=4 - 2_Y	211202_kinetic_519, 00 Fc=4 - 3_X	211202_kinetic_519, 00 Fc=4 - 3_Y	211202_kinetic_519, 00 Fc=4 - 4_X	211202_kinetic_519, 00 Fc=4 - 4_Y	211202_kinetic_519, 00 Fc=4 - 5_X	211202_kinetic_519, 00 Fc=4 - 5_Y	211202_kinetic_519, 00 Fc=4 - 6_X	211202_kinetic_519, 00 Fc=4 - 6_Y
79.7	-2603.86	79.7	-2474.81	79.7	-2257.9	79.7	-1850.61	79.7	-1107.41	79.7	446.66	79.8	-2359.52	79.8	-2254.09	79.8	-2067.34	79.8	-1694	79.8	-1019.11	79.8	418.219
80.7	-2603.67	80.7	-2474.72	80.7	-2257.49	80.7	-1850.18	80.7	-1107.13	80.7	447.504	80.8	-2357.82	80.8	-2253.95	80.8	-2067.08	80.8	-1693.66	80.8	-1018.36	80.8	419.301
81.7	-2603.46	81.7	-2474.15	81.7	-2257.28	81.7	-1849.36	81.7	-1106.72	81.7	447.496	81.8	-2356.65	81.8	-2253.8	81.8	-2066.81	81.8	-1693.64	81.8	-1017.23	81.8	421.039
82.7	-2602.54	82.7	-2473.8	82.7	-2256.63	82.7	-1849.56	82.7	-1106.66	82.7	447.602	82.8	-2355.45	82.8	-2252.88	82.8	-2066.11	82.8	-1692.76	82.8	-1017.28	82.8	418.387
83.7	-2602.23	83.7	-2473.52	83.7	-2256.85	83.7	-1848.76	83.7	-1105.99	83.7	447.844	83.8	-2354.36	83.8	-2251.4	83.8	-2065.72	83.8	-1692.77	83.8	-1015.59	83.8	419.977
84.7	-2602.41	84.7	-2473.16	84.7	-2256.28	84.7	-1849.12	84.7	-1106.23	84.7	447.883	84.8	-2353.31	84.8	-2251.38	84.8	-2065.63	84.8	-1691.49	84.8	-1016.58	84.8	419.941
85.7	-2601.95	85.7	-2472.93	85.7	-2255.69	85.7	-1848.72	85.7	-1106.08	85.7	448.352	85.8	-2352.14	85.8	-2250.68	85.8	-2064.55	85.8	-1691.01	85.8	-1016.7	85.8	420.395
86.7	-2601.69	86.7	-2472.48	86.7	-2256.11	86.7	-1847.78	86.7	-1105.42	86.7	447.992	86.8	-2350.66	86.8	-2249.59	86.8	-2063.96	86.8	-1690.59	86.8	-1014.21	86.8	422.336
87.7	-2601.79	87.7	-2472.15	87.7	-2256.34	87.7	-1848.63	87.7	-1105.63	87.7	448.199	87.8	-2349.72	87.8	-2250.03	87.8	-2063.7	87.8	-1690.76	87.8	-1015.42	87.8	422.305
88.7	-2601.36	88.7	-2472.61	88.7	-2255.82	88.7	-1848.23	88.7	-1105.71	88.7	448.121	88.8	-2348.89	88.8	-2248.69	88.8	-2063.49	88.8	-1690.05	88.8	-1015.39	88.8	422.527
