X	Y	X	Y	X	Y	X	Y	X	Y	X	Y
8.0763592E1	1.4813202E2	8.0953592E1	8.0733689E1	8.0303592E1	4.1636768E1	8.0802611E1	2.4295820E1	8.0653592E1	1.1579647E1	8.0783592E1	6.8912181E0
8.1763592E1	1.5036784E2	8.1953592E1	8.0577879E1	8.1303592E1	4.1853705E1	8.1802611E1	2.4015986E1	8.1653592E1	1.1975084E1	8.1783592E1	7.1402303E0
8.2763592E1	1.5027503E2	8.2953592E1	8.0447695E1	8.2303592E1	4.0242220E1	8.2802611E1	2.4360964E1	8.2653592E1	1.1097396E1	8.2783592E1	8.8990878E0
8.3763592E1	1.5026766E2	8.3953592E1	8.0635839E1	8.3303592E1	4.0349025E1	8.3802611E1	2.7508838E1	8.3653592E1	1.1333651E1	8.3783592E1	7.8749302E0
8.4763592E1	1.5180414E2	8.4953592E1	8.0284435E1	8.4303592E1	4.0543667E1	8.4802611E1	2.8591736E1	8.4653592E1	1.2097545E1	8.4783592E1	8.2810092E0
8.5763592E1	1.5190093E2	8.5953592E1	8.0589789E1	8.5303592E1	4.1087260E1	8.5802611E1	2.7775562E1	8.5653592E1	1.4508809E1	8.5783592E1	7.1028131E0
8.6763592E1	1.5189420E2	8.6953592E1	8.1997729E1	8.6303592E1	4.1221471E1	8.6802611E1	2.6567818E1	8.6653592E1	1.5190418E1	8.6783592E1	6.7112095E0
8.7763592E1	1.5181278E2	8.7953592E1	7.9220506E1	8.7303592E1	4.0975492E1	8.7802611E1	2.6259372E1	8.7653592E1	1.5458846E1	8.7783592E1	6.2586248E0
8.8763592E1	1.5099316E2	8.8953592E1	7.8123158E1	8.8303592E1	4.1017857E1	8.8802611E1	2.6198477E1	8.8653592E1	1.4703902E1	8.8783592E1	6.8180819E0
8.9763592E1	1.5193955E2	8.9953592E1	7.8243062E1	8.9303592E1	4.1051226E1	8.9802611E1	2.5818530E1	8.9653592E1	1.2389187E1	8.9783592E1	7.1573032E0
9.0763592E1	1.5173112E2	9.0953592E1	8.0938013E1	9.0303592E1	4.2509315E1	9.0802611E1	2.5635313E1	9.0653592E1	1.0868347E1	9.0783592E1	7.3258904E0
9.1763592E1	1.4953639E2	9.1953592E1	8.3065856E1	9.1303592E1	4.2431262E1	9.1802611E1	2.4801203E1	9.1653592E1	1.0794395E1	9.1783592E1	7.1377523E0
9.2763592E1	1.4880452E2	9.2953592E1	8.2053382E1	9.2303592E1	4.3027221E1	9.2802611E1	2.5139834E1	9.2653592E1	9.6588044E0	9.2783592E1	6.6392787E0
9.3763592E1	1.4905462E2	9.3953592E1	7.9485049E1	9.3303592E1	4.2482987E1	9.3802611E1	2.5384706E1	9.3653592E1	1.1401668E1	9.3783592E1	7.0697165E0
9.4763592E1	1.4954741E2	9.4953592E1	7.8852922E1	9.4303592E1	4.1740758E1	9.4802611E1	2.6481535E1	9.4653592E1	1.1270623E1	9.4783592E1	6.9717819E0
9.5763592E1	1.5035900E2	9.5953592E1	7.8938631E1	9.5303592E1	4.2275035E1	9.5802611E1	2.4677236E1	9.5653592E1	1.1293930E1	9.5783592E1	7.2158801E0
9.6763592E1	1.5183893E2	9.6953592E1	7.8261780E1	9.6303592E1	4.2451959E1	9.6802611E1	2.2606120E1	9.6653592E1	1.1206060E1	9.6783592E1	7.3652723E0
9.7763592E1	1.5144168E2	9.7953592E1	7.7396906E1	9.7303592E1	4.1776290E1	9.7802611E1	2.2841678E1	9.7653592E1	1.0724157E1	9.7783592E1	7.2504221E0
9.8763592E1	1.5119873E2	9.8953592E1	7.7857090E1	9.8303592E1	4.1664045E1	9.8802611E1	2.3347708E1	9.8653592E1	8.1892766E0	9.8783592E1	7.5703352E0
